row,altitude,moisture,pressure,wind_speed,sky_condition,time_of_day,air_quality_index
1,30K feet,mist,low,high,limited,13,27.092625308824
2,18K feet,dry,high,steady,clear,6,33.7628432780447
3,sea level,fog,low,high,clear,12,353.42855103278526
4,sea level,dry,high,steady,limited,4,307.1323469195896
5,sea level,mist,steady,high,poor,10,330.49925871150197
6,Lolo Peak,dry,high,gusty,poor,10,110.33810051242205
7,30K feet,fog,high,gusty,poor,15,68.47966273688968
8,Missoula,fog,high,gusty,poor,12,240.62699525332746
9,Lolo Peak,mist,high,high,poor,15,130.95603954821664
10,30K feet,dry,high,gusty,poor,19,15.254053092407668
11,30K feet,mist,low,gusty,limited,6,23.424936972466874
12,Lolo Peak,dry,low,high,limited,7,100.18257391030714
13,sea level,rain,high,high,clear,16,313.83722527199944
14,Lolo Peak,dry,steady,steady,poor,15,101.76265134313083
15,sea level,mist,low,steady,limited,13,324.33710976864677
16,Missoula,fog,high,steady,poor,11,245.15510148812862
17,sea level,dry,low,steady,limited,4,305.3459025074991
18,Missoula,dry,low,high,clear,17,186.9763932879152
19,30K feet,mist,steady,steady,poor,11,37.039686194508754
20,Missoula,fog,steady,high,poor,12,243.08470545036957
21,sea level,dry,steady,gusty,limited,8,309.70390242696453
22,18K feet,dry,steady,steady,clear,9,34.53188441192432
23,Lolo Peak,rain,high,gusty,poor,6,114.51944107114153
24,Missoula,mist,steady,steady,clear,9,200.08389683231272
25,30K feet,rain,steady,high,clear,20,11.851613914901202
26,18K feet,dry,high,steady,clear,14,35.46512514388956
27,Lolo Peak,rain,high,gusty,limited,12,101.54520764583432
28,Missoula,rain,steady,high,clear,10,187.08615068064225
29,Missoula,rain,high,high,poor,14,201.10275079239685
30,sea level,mist,low,high,limited,13,331.60554204887774
31,Lolo Peak,dry,low,high,limited,15,90.46888139500827
32,18K feet,mist,steady,gusty,clear,17,52.97290463062582
33,Lolo Peak,fog,high,high,limited,8,148.6409351687109
34,30K feet,mist,steady,steady,poor,11,33.95942849406959
35,30K feet,dry,low,steady,clear,9,7.624608325595063
36,sea level,mist,low,gusty,limited,14,326.93070805038144
37,Lolo Peak,dry,steady,high,limited,13,101.22531991619937
38,sea level,dry,low,calm,clear,3,305.0920998279523
39,Lolo Peak,dry,low,high,limited,5,93.61220685415621
40,30K feet,rain,low,gusty,limited,8,10.17303630445451
41,sea level,dry,steady,high,clear,10,310.63957955011153
42,sea level,fog,steady,calm,clear,12,356.7010734361128
43,18K feet,rain,steady,steady,clear,11,36.039534795783645
44,30K feet,rain,steady,high,poor,15,19.038639848791927
45,18K feet,fog,low,steady,poor,6,92.40431326642461
46,sea level,rain,low,steady,limited,11,313.6444008917192
47,18K feet,fog,steady,high,poor,12,93.31702799079198
48,sea level,fog,high,steady,poor,18,363.2418420485382
49,Missoula,dry,high,steady,clear,7,184.05199894922185
50,18K feet,fog,low,gusty,limited,10,90.54915656572337
51,18K feet,dry,high,steady,poor,14,46.067370771419306
52,30K feet,mist,steady,calm,poor,18,34.77925042214084
53,sea level,rain,high,high,limited,18,308.8726065502958
54,Lolo Peak,fog,low,gusty,poor,13,150.35588005455034
55,Missoula,mist,high,high,limited,16,209.61283657510907
56,18K feet,fog,steady,steady,limited,8,90.23052874889385
57,sea level,rain,steady,steady,limited,10,306.4196606869689
58,30K feet,fog,steady,high,limited,20,54.46072650821428
59,Lolo Peak,rain,high,steady,limited,3,102.83322208536002
60,Missoula,mist,steady,steady,clear,7,206.62831151856454
61,Missoula,mist,low,steady,limited,14,204.46528131358173
62,Lolo Peak,dry,steady,high,limited,13,92.03498281050646
63,Missoula,fog,steady,calm,clear,11,242.56867052065306
64,sea level,rain,high,steady,poor,11,316.1754423225594
65,Missoula,mist,steady,high,limited,13,206.47700785890504
66,30K feet,rain,high,high,clear,12,2.1524832461763683
67,18K feet,fog,low,high,poor,15,95.30851795614288
68,30K feet,mist,low,steady,limited,13,25.986626525447036
69,Lolo Peak,mist,high,steady,clear,13,114.60874637271004
70,Lolo Peak,mist,high,steady,limited,15,122.43885085118853
71,Lolo Peak,rain,high,steady,limited,14,98.69362922572562
72,Lolo Peak,mist,high,gusty,poor,12,126.27026390978624
73,Missoula,fog,low,steady,limited,10,235.18163642923633
74,Missoula,dry,steady,high,limited,9,187.12615298093533
75,Lolo Peak,fog,high,high,limited,12,147.85579974991325
76,30K feet,fog,steady,high,poor,9,64.25423753307338
77,Lolo Peak,fog,high,gusty,clear,14,143.7631240322458
78,30K feet,dry,steady,high,poor,10,15.059034461291866
79,30K feet,rain,high,high,limited,12,13.46039647736349
80,18K feet,rain,high,gusty,limited,11,37.61267447135909
81,18K feet,fog,low,steady,clear,10,89.4151590860229
82,Missoula,fog,low,high,poor,10,242.25507136062484
83,18K feet,fog,high,high,clear,15,82.85201460145736
84,30K feet,dry,low,high,clear,5,5.050201945521957
85,Missoula,rain,high,gusty,poor,14,200.7419233293332
86,sea level,mist,low,gusty,limited,13,330.6699715326267
87,sea level,mist,high,gusty,clear,6,325.8279722661212
88,18K feet,rain,low,high,limited,9,41.55725608331078
89,sea level,mist,low,high,limited,10,329.48585281776207
90,Missoula,mist,low,gusty,limited,15,202.61906936052569
91,18K feet,rain,steady,high,poor,15,51.86238215193013
92,Lolo Peak,rain,low,calm,limited,8,103.0130976970362
93,sea level,dry,steady,high,poor,14,313.2275418713017
94,18K feet,dry,steady,steady,clear,5,38.79209821662374
95,30K feet,mist,low,steady,poor,21,35.76991079056169
96,18K feet,mist,high,high,clear,16,56.162776174405266
97,Missoula,rain,high,high,poor,9,192.1832841664909
98,30K feet,mist,low,high,limited,12,23.617958155846665
99,Lolo Peak,mist,steady,calm,clear,9,119.75812424392865
100,30K feet,dry,steady,steady,clear,15,7.184233933446553
101,18K feet,rain,low,high,limited,12,41.74692894600842
102,sea level,rain,steady,high,limited,7,315.4573643195733
103,Missoula,mist,steady,high,limited,12,207.44337273012758
104,sea level,mist,steady,high,poor,15,333.2375294346711
105,Missoula,rain,steady,gusty,poor,13,198.6004763313472
106,30K feet,fog,low,gusty,clear,7,52.45030725951456
107,Lolo Peak,dry,steady,high,poor,4,100.22413048332463
108,18K feet,fog,high,steady,limited,8,83.70484749827283
109,sea level,dry,high,steady,poor,9,317.05474760916434
110,30K feet,fog,high,gusty,clear,9,48.03204994551127
111,30K feet,fog,high,steady,poor,10,63.66511851458314
112,Missoula,fog,low,high,poor,15,239.31722612754183
113,Missoula,rain,steady,gusty,poor,16,198.34183620119697
114,18K feet,fog,low,high,limited,12,87.24324472041093
115,18K feet,fog,steady,steady,clear,5,88.30903929989613
116,18K feet,mist,steady,gusty,poor,6,68.60626154571054
117,sea level,fog,low,gusty,limited,21,366.01356123293675
118,sea level,rain,steady,high,clear,14,309.53370957319527
119,Lolo Peak,mist,steady,steady,limited,11,123.06618480161687
120,Lolo Peak,fog,low,gusty,limited,11,148.7165909473397
121,18K feet,rain,steady,high,limited,21,46.5031858126896
122,Missoula,fog,low,steady,limited,13,234.91973469213272
123,18K feet,mist,steady,high,clear,19,55.22926969280978
124,sea level,dry,high,gusty,clear,11,307.4245396322647
125,Missoula,dry,steady,gusty,poor,18,191.78790971543995
126,18K feet,mist,high,gusty,clear,17,48.33978865987215
127,Lolo Peak,rain,high,high,limited,17,100.97959723468871
128,18K feet,mist,steady,steady,limited,18,60.55569570852037
129,18K feet,dry,steady,calm,limited,5,39.28670554945803
130,18K feet,rain,low,steady,poor,7,52.216933858392835
131,sea level,dry,low,steady,limited,13,307.38241454139376
132,Lolo Peak,mist,low,steady,clear,12,116.17517770848067
133,30K feet,fog,steady,high,poor,6,67.63414360956027
134,Missoula,dry,steady,calm,limited,17,193.1550168458101
135,Lolo Peak,dry,low,high,poor,10,101.8765533961785
136,18K feet,fog,steady,high,poor,14,98.35343282689729
137,sea level,dry,high,gusty,poor,9,315.097363646561
138,30K feet,mist,high,calm,clear,15,25.256407415121338
139,30K feet,rain,high,high,poor,12,18.618091044898467
140,Lolo Peak,fog,high,gusty,clear,14,149.25504676336146
141,sea level,fog,high,gusty,limited,9,356.2731724568258
142,Missoula,mist,steady,high,clear,19,205.01078156390486
143,Lolo Peak,mist,low,high,limited,10,113.91094901037896
144,Lolo Peak,dry,low,gusty,limited,10,97.48520407989018
145,Lolo Peak,rain,high,calm,poor,12,108.4816576919893
146,sea level,fog,steady,steady,poor,16,359.90013445750617
147,18K feet,rain,high,gusty,poor,8,51.93198890246393
148,30K feet,rain,low,steady,poor,14,20.27312636654664
149,Missoula,dry,steady,steady,clear,12,189.7072077139568
150,18K feet,dry,steady,high,poor,15,45.905278228504386
151,sea level,mist,low,high,clear,7,322.5692499959615
152,30K feet,fog,high,gusty,clear,7,49.16501544477211
153,Missoula,fog,low,gusty,clear,5,238.9351560139712
154,sea level,rain,high,high,clear,19,313.53792777425167
155,Missoula,fog,low,high,clear,13,233.36779156087985
156,18K feet,dry,steady,steady,clear,17,34.83157344156892
157,sea level,mist,low,gusty,clear,15,330.6509526952618
158,18K feet,mist,low,steady,clear,18,58.08027919916279
159,sea level,mist,high,high,poor,5,334.14049775805347
160,Lolo Peak,rain,high,steady,poor,13,107.54950174633714
161,Missoula,mist,low,high,poor,11,217.20659751440203
162,Missoula,fog,low,gusty,limited,3,237.30253781745267
163,30K feet,fog,high,gusty,poor,16,66.27514384876898
164,Missoula,dry,low,gusty,clear,19,185.0026393117916
165,sea level,fog,low,high,clear,7,355.66117291741637
166,18K feet,fog,steady,steady,clear,16,82.53776897358968
167,30K feet,dry,high,gusty,clear,8,9.898082126987596
168,sea level,mist,low,high,poor,4,337.3149997285214
169,30K feet,dry,high,steady,limited,18,12.141594119402601
170,sea level,rain,high,high,poor,7,324.31186113117934
171,Missoula,mist,steady,high,poor,14,215.9770041244379
172,Lolo Peak,dry,steady,high,limited,12,96.53313637535219
173,sea level,fog,high,high,limited,12,357.4469878464271
174,sea level,rain,low,high,clear,12,307.32376916864393
175,Missoula,mist,high,gusty,poor,10,216.9443851789211
176,sea level,mist,high,steady,poor,10,340.4029539910302
177,Lolo Peak,mist,high,steady,limited,11,119.13528938470802
178,18K feet,mist,low,gusty,clear,15,55.707088528649074
179,Lolo Peak,mist,steady,gusty,poor,11,125.25079367236921
180,30K feet,rain,low,gusty,limited,12,14.41843500361967
181,sea level,fog,high,gusty,poor,13,365.5921398453083
182,Lolo Peak,rain,low,steady,poor,14,104.58533523929935
183,30K feet,rain,low,gusty,poor,5,19.7792204927255
184,Lolo Peak,fog,steady,calm,limited,10,146.51743398656575
185,30K feet,rain,low,steady,limited,3,11.09626342851837
186,Missoula,rain,low,gusty,poor,11,202.78306449523566
187,sea level,rain,high,steady,poor,12,320.7975734578677
188,30K feet,rain,steady,high,poor,7,24.056290721792536
189,sea level,rain,steady,steady,poor,9,317.14119530901337
190,Lolo Peak,mist,steady,gusty,limited,3,117.75068378306383
191,Missoula,fog,high,high,clear,9,233.17041603222214
192,Lolo Peak,rain,low,high,clear,8,97.53419252473648
193,Lolo Peak,dry,steady,steady,clear,15,101.12791633776324
194,Lolo Peak,fog,high,gusty,clear,10,144.7381857395371
195,30K feet,fog,steady,steady,poor,11,62.22605872423366
196,Missoula,mist,steady,calm,poor,10,214.4064869424327
197,sea level,fog,low,gusty,clear,15,349.7452846049307
198,sea level,rain,steady,steady,clear,11,304.54418497559726
199,Lolo Peak,fog,steady,high,poor,5,152.27873551797492
200,Lolo Peak,rain,steady,steady,clear,8,98.17291132396748
201,30K feet,fog,low,high,limited,16,57.045422210929516
202,Missoula,dry,low,steady,poor,5,196.97284753795216
203,18K feet,dry,steady,steady,clear,12,34.56210866615871
204,sea level,dry,low,steady,poor,11,315.9983943569777
205,Missoula,dry,low,calm,clear,14,178.09279701231563
206,Lolo Peak,mist,low,high,clear,14,116.60422828692447
207,Lolo Peak,fog,high,steady,poor,11,153.2141872435128
208,sea level,rain,low,high,limited,17,310.39713492454024
209,sea level,fog,high,steady,clear,7,356.29275499794454
210,30K feet,rain,low,gusty,limited,15,15.055129959719963
211,30K feet,mist,high,gusty,limited,9,25.42143041360507
212,Missoula,fog,low,high,limited,5,239.32461886470003
213,Missoula,mist,high,gusty,clear,12,208.78006999696788
214,18K feet,mist,low,gusty,poor,17,57.80688857241489
215,18K feet,fog,high,gusty,poor,7,97.06884115880415
216,sea level,fog,steady,high,poor,9,363.2077868355527
217,18K feet,rain,low,gusty,clear,19,40.15090766644024
218,Missoula,mist,steady,steady,poor,22,215.5256158221136
219,Missoula,fog,steady,high,poor,15,240.59192247222884
220,Lolo Peak,dry,high,high,poor,13,101.95986976187973
221,sea level,fog,steady,steady,limited,14,356.4140163638656
222,18K feet,fog,low,calm,poor,8,97.45874367421642
223,30K feet,dry,steady,high,clear,9,9.871979198780378
224,30K feet,rain,steady,steady,limited,12,16.353620193425247
225,Missoula,fog,low,gusty,poor,9,246.1079046827081
226,Missoula,dry,low,steady,poor,9,195.67478074943372
227,30K feet,dry,low,steady,poor,12,19.723852812010463
228,sea level,rain,high,high,limited,9,312.7734000783005
229,sea level,dry,high,gusty,clear,14,304.3375333177111
230,18K feet,fog,high,gusty,limited,12,86.130373474916
231,sea level,fog,low,calm,clear,8,355.7627789952942
232,sea level,rain,low,high,limited,10,314.4506642138436
