id	age	gender	engagement	mem.edu	zip	channel	progressivism	harm	fair	in.group	authority	purity	account.age	region	public.sector	sustainability	localism	pub.greater.priv	experience.more.important	teachers.underpaid	main.focal.value	support.of.focal.value
346	56	other	Engaged	2	98503	Branch	-0.0833333333333333	1	1	1	1	1.25	9.951	Thurston	yes	2.33333333333333	2.75	3	3	2	Homelessness	0
348	66	female	Highly Engaged	3	98012	Branch	2.29166666666667	5	4.75	2.25	3.25	2.25	8.838	W WA Metro	yes	6	5.75	1	4	5	Environment	18.6278300400615
349	71	male	Not Engaged	7	98506	Branch	1	3.25	4.25	2.25	3.25	2.75	5.356	Thurston	yes	5.16666666666667	4.5	4	3	6	Hunger/Poverty	28.7399856722228
352	66	male	Engaged	7	NA	Branch	0.583333333333333	4.25	4.75	4.75	3.25	3.75	9.192	W WA Metro	no	5.5	4.5	3	3	4	Education	18.0553722472463
358	50	male	Highly Engaged	4	98233	Branch	-0.5	2	4.5	3.5	4.5	3.25	11.57	W WA Non Metro	yes	2.83333333333333	4	2	4	5	Education	4.40092148115167
361	40	female	Engaged	3	98520	Branch	0.541666666666667	3.75	4	3.75	3	3.25	5.932	W WA Non Metro	yes	3.5	5.25	3	5	6	Homelessness	28.6801365739818
367	49	male	Engaged	4	NA	Branch	1.79166666666667	4.25	4.5	3.5	2.5	1.75	23.611	W WA Metro	yes	5.83333333333333	5.5	5	2	5	Human/Civil rights	58.0881612810018
368	43	male	Not Engaged	6	99163	Branch	2.5	4.75	4.25	2.5	2.25	1.25	5.033	E WA Non Metro	yes	3.33333333333333	4.75	4	3	6	Environment	9.12638644880421
369	61	male	Highly Engaged	3	98133	Branch	0.5	4.25	4.25	3.75	3.75	3.75	25.951	W WA Metro	yes	2.5	2.75	4	5	6	Human/Civil rights	4.40092148115167
371	71	female	Highly Engaged	6	NA	Branch	3.16666666666667	4.75	4.25	1.5	1.5	1	20.367	W WA Metro	yes	5.33333333333333	6	1	3	4	Environment	82.1256876111703
372	73	female	Highly Engaged	6	98506	Branch	1.95833333333333	3.75	5	2.5	3	1.75	45.115	Thurston	yes	4.83333333333333	5.75	3	4	5	Environment	32.5951757635879
372	73	female	Highly Engaged	6	98506	Branch	1.95833333333333	3.75	5	2.5	3	1.75	45.115	Thurston	yes	4.83333333333333	5.75	3	4	5	Environment	32.5951757635879
373	61	male	Highly Engaged	4	98506	Branch	1.625	4.25	4.5	3.25	3	2	37.455	Thurston	yes	5.66666666666667	5.75	6	5	6	Environment	21.0614634453976
375	79	female	Engaged	2	98532	Branch	0.208333333333333	4.5	4.25	4.5	3.75	4.25	8.526	W WA Non Metro	no	4.33333333333333	5	4	3	4	Hunger/Poverty	16.335998477745
399	60	male	Not Engaged	3	98001	Loan	0.166666666666667	3.75	3.25	3.5	3.5	3	1.929	W WA Metro	no	4	4.25	3	4	6	Homelessness	4.40092148115167
412	71	male	Not Engaged	6	98532	Branch	0.0416666666666665	2	3.25	2.75	3	2	28.471	W WA Non Metro	yes	4.33333333333333	4.5	3	4	2	Health (i.e. cancer research)	10.1121556321612
424	38	female	Highly Engaged	4	98660	Branch	1.5	4	3	2.5	1.75	1.75	4.477	W WA Metro	yes	4.83333333333333	5	3	3	5	Animal rights	16.7450595773884
425	31	male	Highly Engaged	3	98502	Branch	0.208333333333333	3.25	3.5	3.25	3	3.25	2.619	Thurston	no	5.33333333333333	5.75	5	5	5	Human/Civil rights	42.8147407067514
426	29	female	Engaged	3	NA	Other	-1.20833333333333	3.75	1.5	3.25	3.5	4.75	0.46	W WA Non Metro	no	4	4	1	4	1	Law enforcement	14.8376205998138
429	46	male	Highly Engaged	5	NA	Branch	1.54166666666667	4.5	3.75	2.5	2.5	2.75	12.392	Thurston	yes	2.5	4.25	3	5	3	Animal rights	49.0385835523352
430	29	female	Engaged	6	98938	Loan	1.375	3.5	4.25	3	3.25	1.25	4.537	E WA Non Metro	no	2.33333333333333	4.75	3	4	5	Hunger/Poverty	10.1121556321612
432	40	female	Engaged	3	NA	Branch	1.5	5	3.5	3	2.75	2.5	2.83	E WA Metro	no	5.5	6	4	4	5	Animal rights	35.0712378288088
433	35	female	Engaged	4	98422	Other	0.0416666666666665	3.75	4	3.75	3.5	4.25	1.504	W WA Metro	no	4.83333333333333	4.75	3	6	6	Animal rights	0
434	70	male	Highly Engaged	7	99163	Branch	1.04166666666667	3.5	4.25	3	2.25	3.25	33.778	E WA Non Metro	no	5.5	6	3	3	6	Hunger/Poverty	35.5938065039788
435	72	female	Highly Engaged	3	NA	Branch	0.208333333333333	4.25	4	4.25	4	3.5	7.518	W WA Non Metro	no	4	4.5	3	3	2	Education	4.40092148115167
437	43	female	Not Engaged	4	NA	Branch	0.625	4	3.75	3	3.5	3.25	3.184	Thurston	yes	5	6	4	2	3	Human/Civil rights	4.40092148115167
439	39	female	Highly Engaged	4	NA	Branch	0.625	4	3.75	3	3.5	3.25	5.321	W WA Metro	no	5.5	5	5	5	6	Human/Civil rights	33.3325325018267
440	33	male	Engaged	4	NA	Branch	3.25	3.75	4.25	0.5	0.75	1	12.068	Thurston	yes	4	5.25	4	5	6	Education	100
441	65	male	Not Engaged	6	NA	Branch	2.08333333333333	2.5	5	2	1.5	1.5	3.077	W WA Metro	no	5.16666666666667	6	4	4	6	Hunger/Poverty	28.6801365739818
442	83	female	Not Engaged	2	NA	Branch	0.708333333333333	4.25	4	2.75	3.5	4	26.296	Thurston	no	4.5	5	2	4	4	Animal rights	9.12638644880421
444	64	male	Highly Engaged	4	NA	Branch	-0.416666666666667	3	3	3.5	3.5	3.25	37.29	Thurston	yes	4.66666666666667	3.75	2	5	3	Specify	23.0287515212132
445	20	female	Engaged	3	98501	Branch	1.20833333333333	4.25	4.5	2.5	2.5	4.5	3.567	Thurston	no	3.83333333333333	3	4	2	6	Education	12.4039871944777
447	56	female	Engaged	8	NA	Branch	2.5	3.5	4	2.25	1.25	0.25	25.51	E WA Non Metro	yes	5.16666666666667	5	5	4	6	Human/Civil rights	54.1485675042327
448	22	female	Engaged	4	NA	Branch	1.20833333333333	4	3.75	3.25	2.75	2	4.989	W WA Metro	yes	3.5	4.25	2	4	6	Education	47.3715984233145
449	54	female	Engaged	3	NA	Branch	0.208333333333333	4.5	3.75	3.75	3.75	4.25	2.997	Thurston	yes	5	4.25	3	5	6	Environment	10.1121556321612
451	35	female	Highly Engaged	4	NA	Branch	0.083333333333333	4	4.5	4.5	4	4	10.858	Thurston	no	5	4	3	5	6	Education	0
452	42	male	Not Engaged	4	98042	Branch	2	3.25	3.75	3	1	0.5	18.759	W WA Metro	yes	5.33333333333333	4	6	5	3	Education	20.0026252222329
453	63	female	Highly Engaged	6	98087	Branch	0.75	4.5	4.5	4.25	3	4	27.31	W WA Metro	yes	5.66666666666667	4.5	3	4	5	Animal rights	47.2348975742356
455	39	male	Not Engaged	2	98951	Loan	0.333333333333333	2	4.5	2.5	3	3.25	0.663	E WA Non Metro	no	2.5	4	3	4	2	Hunger/Poverty	9.12638644880421
456	42	female	Engaged	4	NA	Branch	0.791666666666667	2.75	3.5	2	2.75	2.25	0.26	W WA Metro	no	4	3.25	3	3	5	Homelessness	0
458	65	female	Highly Engaged	3	NA	Branch	-0.375	3.75	5	4.25	5	5	9.573	W WA Metro	yes	2.5	2.25	3	3	6	Education	4.40092148115167
459	48	male	Engaged	6	NA	Branch	1.75	4.25	4.75	2.75	2.75	2.75	4.296	W WA Metro	yes	4.66666666666667	5.5	1	5	5	Human/Civil rights	49.8321636362235
