year	mo	da	temp	max	min	wdsp	prcp	rain_drizzle	snow_ice_pellets
2016	02	17	22.5	35.1	14	4.7	0	0	0
2016	08	20	64.5	79	60.1	7.7	0.12	1	0
2016	01	12	-0.1	6.1	-9	10.2	0.02	0	1
2016	04	07	37.2	44.1	32	5.6	0	1	1
2016	01	09	13.4	34	1.9	13.7	0.01	0	1
2016	11	16	47.3	61	34	6.7	0	0	0
2016	03	26	44.3	51.1	27.1	6.3	0	1	0
2016	05	28	64.1	70	61	4.9	0.24	1	0
2016	11	08	52.2	64.9	44.1	9.7	0	0	0
2016	12	20	29.3	37	19.9	11.9	0	0	0
2016	02	09	11.7	17.1	5	15.0	0	0	1
2016	02	19	39.1	45	25.2	11.3	0	1	0
2016	05	17	55.6	66	46	7.5	0	0	0
2016	10	20	45.2	55.9	37.9	9.2	0	0	0
2016	08	29	76.8	86	61	7.4	0	0	0
2016	07	17	73.8	84	62.1	10.8	0.3	1	0
2016	08	27	65.4	72	57	5.7	0	1	0
2016	08	26	64.7	73.9	57	3.5	0	0	0
2016	12	06	29.4	39.9	21	13.9	0	0	1
2016	03	10	37.5	48.9	34	5.1	0	1	0
2016	10	30	45.6	55.9	43	6.1	0.06	0	0
2016	10	29	55.3	72	46	6.0	0	1	0
2016	04	21	56.6	66.9	52	4.8	0.25	1	0
2016	11	20	25.9	32	23	5.9	0	0	0
2016	09	09	68.3	78.1	62.1	4.7	0.2	1	0
2016	12	30	23.3	33.1	18	8.7	0	0	1
2016	03	25	37.8	48	27	6.4	0	1	0
2016	08	22	70.5	82.9	55.9	8.6	0	0	0
2016	02	24	35.3	39.9	32	8.3	0.04	0	1
2016	01	04	19	28.9	10	5.3	0	0	0
2016	09	20	67	79	57	3.1	0.01	0	0
2016	05	04	58.5	73	45	12.0	0	0	0
2016	10	06	55.9	64.9	45	4.9	0.6	1	0
2016	02	18	30.1	39	15.1	12.7	0	0	0
2016	02	26	30.5	42.1	24.1	8.1	0	0	0
2016	06	20	76.9	93	66	10.9	0.2	1	0
2016	07	10	74.1	82	63	8.5	0.33	1	0
