date	hour	visits	dow	month	day	year	deals	branded_imps	branded_clicks	nonbranded_imps	nonbranded_clicks	raw_imps	est_unc_imps	daypart	channel	kre8.visits	channel_count
2014-06-15	0	63	Sunday	6	15	2014	0	4	0	209	4	94000	40400	LATE FRINGE  M-SU	Cooking Channel-LOCAL:Nat Geo Wild-LOCAL:National Geographic-LOCAL	43	3
2014-06-15	1	73	Sunday	6	15	2014	0	3	1	135	4	28000	14000	LATE FRINGE  M-SU	Cooking Channel-LOCAL	3	1
2014-06-15	2	40	Sunday	6	15	2014	0	2	1	120	5	140000	28000	LATE FRINGE  M-SU	Animal Planet-LOCAL:Animal Planet-LOCAL	4	2
2014-06-15	3	39	Sunday	6	15	2014	0	5	1	233	4	40000	8000	OVERNIGHT  M-SU	Animal Planet-LOCAL	1	1
2014-06-15	4	82	Sunday	6	15	2014	0	8	1	400	11	35000	11000	OVERNIGHT  M-SU	ESPN2-LOCAL:National Geographic-LOCAL	12	2
2014-06-15	5	168	Sunday	6	15	2014	0	13	2	624	22	0	0	NA	NA	0	0
2014-06-15	6	181	Sunday	6	15	2014	0	16	2	778	22	49000	29400	WKD DAY SA-SU	Oprah Winfrey Network-LOCAL	1	1
2014-06-15	7	221	Sunday	6	15	2014	0	22	4	1078	31	49000	29400	WKD DAY SA-SU	Oprah Winfrey Network-LOCAL	1	1
2014-06-15	8	218	Sunday	6	15	2014	0	27	3	1321	27	206000	78600	WKD DAY SA-SU	Do It Yourself-LOCAL:Headline News-LOCAL:Headline News-LOCAL:Oprah Winfrey Network-LOCAL	33	4
2014-06-15	9	256	Sunday	6	15	2014	0	27	5	1330	39	222000	67100	WKD DAY SA-SU	Animal Planet-LOCAL:Biography-LOCAL:Do It Yourself-LOCAL:Headline News-LOCAL	42	4
2014-06-15	10	266	Sunday	6	15	2014	0	28	4	1350	32	115000	30200	WKD DAY SA-SU	Animal Planet-LOCAL:Cooking Channel-LOCAL	17	2
2014-06-15	11	319	Sunday	6	15	2014	0	28	2	1361	17	0	0	NA	NA	0	0
2014-06-15	12	305	Sunday	6	15	2014	0	31	3	1512	26	201000	55250	WKD DAY SA-SU	Animal Planet-LOCAL:Cooking Channel-LOCAL:ESPN2-LOCAL:Nat Geo Wild-LOCAL:The Weather Channel-LOCAL	49	5
2014-06-15	13	339	Sunday	6	15	2014	0	32	4	1548	32	24000	12000	WKD DAY SA-SU	Cooking Channel-LOCAL	6	1
2014-06-15	14	316	Sunday	6	15	2014	0	32	4	1575	36	237000	101800	WKD DAY SA-SU	Animal Planet-LOCAL:Cooking Channel-LOCAL:Do It Yourself-LOCAL:Logo-LOCAL:Oprah Winfrey Network-LOCAL	50	5
2014-06-15	15	305	Sunday	6	15	2014	0	32	4	1531	31	81000	41400	WKD DAY SA-SU	Biography-LOCAL:Do It Yourself-LOCAL	20	2
2014-06-15	16	315	Sunday	6	15	2014	0	38	4	1846	36	272000	82850	WKD DAY SA-SU	Animal Planet-LOCAL:ESPN2-LOCAL:Logo-LOCAL:National Geographic-LOCAL:National Geographic-LOCAL:The Weather Channel-LOCAL	72	6
2014-06-15	17	310	Sunday	6	15	2014	0	40	5	1928	39	131000	38200	WKD DAY SA-SU	Animal Planet-LOCAL:Cooking Channel-LOCAL:Logo-LOCAL	64	3
2014-06-15	18	281	Sunday	6	15	2014	0	39	5	1909	47	91000	18200	WKD DAY SA-SU	Animal Planet-LOCAL	9	1
2014-06-15	19	270	Sunday	6	15	2014	0	38	4	1825	32	142000	36200	WKD DAY SA-SU	Animal Planet-LOCAL:Biography-LOCAL:Nat Geo Wild-LOCAL	27	3
2014-06-15	20	238	Sunday	6	15	2014	0	28	2	1340	20	0	0	NA	NA	0	0
2014-06-15	21	199	Sunday	6	15	2014	0	20	3	955	22	0	0	NA	NA	0	0
2014-06-15	22	141	Sunday	6	15	2014	0	13	2	609	13	10000	5000	WKD PRIME SA-SU	Logo-LOCAL	2	1
2014-06-15	23	114	Sunday	6	15	2014	0	8	1	394	7	19000	9500	LATE FRINGE  M-SU	Logo-LOCAL	3	1
2014-06-16	0	69	Monday	6	16	2014	0	4	1	211	5	70000	14000	LATE FRINGE  M-SU	Animal Planet-LOCAL	8	1
2014-06-16	1	55	Monday	6	16	2014	0	3	1	160	5	28000	14000	LATE FRINGE  M-SU	Cooking Channel-LOCAL	2	1
2014-06-16	2	42	Monday	6	16	2014	0	3	0	148	4	0	0	NA	NA	0	0
2014-06-16	3	71	Monday	6	16	2014	0	5	1	297	7	80000	16000	OVERNIGHT  M-SU	Animal Planet-LOCAL:Animal Planet-LOCAL	7	2
2014-06-16	4	104	Monday	6	16	2014	0	12	2	669	16	103000	25200	OVERNIGHT  M-SU	Animal Planet-LOCAL:Animal Planet-LOCAL:National Geographic-LOCAL	10	3
2014-06-16	5	161	Monday	6	16	2014	0	25	2	1446	19	0	0	NA	NA	0	0
2014-06-16	6	252	Monday	6	16	2014	0	43	5	2432	40	1e+05	33000	MORNING  M-F	Biography-LOCAL:Bravo-LOCAL:Oprah Winfrey Network-LOCAL	7	3
2014-06-16	7	283	Monday	6	16	2014	0	57	7	3242	61	2e+05	61200	MORNING  M-F	Animal Planet-LOCAL:Biography-LOCAL:Biography-LOCAL:Bravo-LOCAL:Do It Yourself-LOCAL:Oprah Winfrey Network-LOCAL:The Weather Channel-LOCAL	17	7
