row	weekday	weather	time	temperature	pedestrian_level	police_presence	consumer_satisfaction	accidents_per_10K_1	accidents_per_10K_2	accidents_per_10K_3
1	Fr	rainy	overnight	74.03785038758545	2	1	36.521916579184925	14.11977805414748	0	0
2	Th	snowy	overnight	8.352385125982867	4	2	27.07105451838381	15.49078962333158	7.353848076108235	2.5515748690959597
3	M	rainy	evening rush	78.04879972496124	1	2	42.90046719360622	12.520328773547526	0	0
4	Su	rainy	midday	72.27462562936269	5	1	70.37148868049512	15.129188576086397	3.3725862192102056	0
5	M	rainy	evening rush	62.16583867031438	3	2	34.86001264637541	15.152376523280253	0.09012694061276694	0
6	Sa	rainy	overnight	81.9507897096957	1	2	42.15185711238558	2.923881303540445	0	0
7	M	sunny	morning rush	77.65740966665811	1	4	54.925477484437934	8.204672294170395	0	2.8929700925449087
8	W	sunny	overnight	68.76024741336674	6	1	50.53434182231637	20.999267767483303	5.536107101795716	2.783406932450629
9	Fr	sunny	overnight	64.46492862170855	7	1	56.194155594820714	23.993575405790217	8.587246110121319	0
10	Su	sunny	overnight	70.16258470872144	6	2	31.363652657182175	19.2621268145219	1.859993656888086	2.2914805624725627
11	Tu	sunny	overnight	65.53509151920537	4	1	61.1833624084873	12.621766799058474	0	0.9749795093660397
12	W	sunny	evening rush	58.545452168327934	5	1	59.04627269776313	18.44113877090763	1.8716665089415299	0
13	Fr	sunny	overnight	66.02002747576255	4	1	53.054492320353404	18.990043582528497	1.1864719616089698	3.3783072276607684
14	Fr	sunny	midday	71.44571627333414	5	1	33.95871312024334	18.411443992919303	0	1.1389753038834791
15	W	snowy	midday	-3.1961843407258534	8	1	71.53250892122905	26.853395756358236	25.70682984107461	3.989249587327317
16	M	snowy	evening rush	7.813138488873357	4	1	27.298965329681664	17.419687132010278	9.616453915794269	0
17	W	snowy	morning rush	2.2292588020576423	11	2	56.044973271943014	38.21882632092238	32.145285358948826	1.6383581340480295
18	Sa	sunny	morning rush	93.46648471025577	3	3	62.927460368483885	11.107122401661512	0	2.3738971289785713
19	Su	sunny	overnight	72.74943460144019	5	1	31.516184122298043	18.65515745221896	3.552352816272	0
20	M	sunny	midday	69.979359447402	7	2	53.75127132302593	22.876647705940464	3.8200005747425654	0
21	Tu	sunny	overnight	74.42634605588447	7	1	45.248458125222285	25.25308839766133	3.6061777472151633	0.8023274967897916
22	M	sunny	midday	60.48493956201834	5	4	53.524067916046555	17.470092726564303	3.6496350063139182	0
23	Tu	sunny	midday	59.573048125384275	10	3	64.7412870493107	31.874510687477112	18.527763708231205	0
