true_group	model1_est	mode2_est	model2_est	model3_est
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
A2	NotA2	NotA2	NotA2	A2
NotA2	NotA2	NotA2	NotA2	A2
A2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	A2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
A2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	A2
A2	NotA2	NotA2	A2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	NotA2	NotA2	A2	NotA2
NotA2	A2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
NotA2	NotA2	NotA2	NotA2	NotA2
A2	NotA2	NotA2	NotA2	NotA2
NotA2	A2	NotA2	NotA2	NotA2
