model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
outback	2015	43000	atlanta	25250	14859.217320318208	18539.40404040404	20315.5972065189	7574.452145214522	17750
outback	2004	164299	atlanta	2995	4598.427098330902	4789.687074829932	3546.300366582931	7574.452145214522	3999.5
wrx	2002	195	atlanta	4000	9138.567440055534	7276.251040221914	5892.919308134426	12931.025862068966	5500
forester	2005	220000	minneapolis	3500	4708.882947996288	4789.687074829932	2792.581742107207	6524.113964686999	3700
sti-wrx	2006	156687	minneapolis	11000	15986.948168379595	4789.687074829932	13593.191476818887	19286.675213675215	13500
impreza	2015	7900	minneapolis	12800	14016.41241601112	11567.134146341463	13935.088402930724	6655.659942363112	12000
legacy	2016	7250	minneapolis	18500	16091.273943101798	18539.40404040404	17947.595807223126	6418.04289544236	16200
sti-wrx	2005	32500	minneapolis	30000	15813.317658829017	13797.777777777777	18672.353208292407	19286.675213675215	12500
legacy	1997	213191	minneapolis	1300	-2105.4267077884356	2417.3728222996515	1087.7030614543455	6418.04289544236	1500
forester	2016	22678	minneapolis	26400	15386.658735594528	18539.40404040404	18328.618611102404	6524.113964686999	17195
outback	2015	44000	minneapolis	22000	15189.229347948216	18539.40404040404	19450.793232902535	7574.452145214522	17750
sti-wrx	2005	207	minneapolis	9000	17906.16459017048	13797.777777777777	12922.39884950504	19286.675213675215	12500
forester-xt	2004	203122	minneapolis	5500	5854.709099063422	4789.687074829932	4290.743906183765	9804.4	5900
outback	2001	175000	atlanta	3300	1935.5354113917422	2417.3728222996515	2623.06020666931	7574.452145214522	2450
legacy	2001	112000	atlanta	3250	1355.6478247324544	2504.294736842105	3233.791420671866	6418.04289544236	2000
outback	2000	147	atlanta	5697	4001.8625985981143	2504.294736842105	3565.9937920048314	7574.452145214522	2350
outback	2003	245500	atlanta	2100	3540.152305398138	2417.3728222996515	1758.8106993444717	7574.452145214522	3050
forester	2009	159800	atlanta	7498	8024.728942455195	4789.687074829932	6152.15106335279	6524.113964686999	6900
forester	2003	141000	atlanta	2950	2811.6361132372754	7276.251040221914	3539.3067424680066	6524.113964686999	2900
impreza	2001	183000	atlanta	7000	-23.102212759348276	2417.3728222996515	2057.7504669637847	6655.659942363112	2950
outback	2004	100000	atlanta	5700	4820.992660113314	7276.251040221914	5594.986296962868	7574.452145214522	3999.5
outback	2003	167000	minneapolis	2900	4053.2174752931187	2417.3728222996515	2847.9514969429947	7574.452145214522	3050
forester	2009	154012	atlanta	5999	8041.268611623784	4789.687074829932	6326.177001057767	6524.113964686999	6900
wrx	2007	188000	minneapolis	9850	10972.883839762702	4789.687074829932	8327.930595145928	12931.025862068966	9749.5
brz	2013	53240	minneapolis	11950	15332.81081805742	18539.40404040404	14530.102363835067	16082.274725274725	15950
legacy	2006	109500	minneapolis	5500	6097.0709480535315	7276.251040221914	5110.7592993709295	6418.04289544236	5000
outback	2004	141500	minneapolis	4700	5005.701242358666	7276.251040221914	3892.9380211806256	7574.452145214522	3999.5
sti-wrx	2017	2351	atlanta	39500	27172.335441436335	27667.102040816328	30759.853703311666	19286.675213675215	29999
forester	1999	270000	atlanta	1400	-992.4573765054424	2417.3728222996515	1083.5220438275392	6524.113964686999	1750
outback	2007	153434	missoula	7000	9628.220392610081	4789.687074829932	6169.945535893938	7574.452145214522	5495
forester	2015	22000	missoula	19900	16546.230100818888	18539.40404040404	17826.282219317538	6524.113964686999	16100
forester	2003	175000	atlanta	5000	2714.787228949534	2417.3728222996515	2777.5734015149164	6524.113964686999	2900
wrx	2011	85000	minneapolis	16000	14841.49736524911	11650.57939914163	15817.530988105798	12931.025862068966	15750
impreza	2009	70000	atlanta	8250	7433.214875268735	7276.251040221914	7471.156394180449	6655.659942363112	5950
forester	2001	287	minneapolis	1200	4041.774765554743	2504.294736842105	1913.29547675706	6524.113964686999	2350
impreza-wrx	2002	155273	minneapolis	3500	4995.725923243181	2417.3728222996515	4458.780737933593	9121.141592920354	5300
forester	2013	128000	atlanta	7990	11637.004669321535	11650.57939914163	10165.294064086176	6524.113964686999	13900
forester	2001	167000	missoula	1500	3343.882677483226	2417.3728222996515	2751.49544713708	6524.113964686999	2350
legacy	2008	152000	minneapolis	9350	7706.463763887554	4789.687074829932	5175.869011612685	6418.04289544236	5800
outback	2002	105000	minneapolis	9500	3383.026575521011	7276.251040221914	4121.4592521598815	7574.452145214522	2500
forester	2010	89600	minneapolis	8500	9502.560645816544	7276.251040221914	9896.11597871327	6524.113964686999	7100
outback	2002	170	atlanta	4499	5718.323021407121	7276.251040221914	4219.117413195383	7574.452145214522	2500
legacy	2010	158000	atlanta	5900	9105.207242542994	4789.687074829932	5361.749180499761	6418.04289544236	6500
legacy	2006	84000	atlanta	4000	5875.574099045787	7276.251040221914	5662.07310396351	6418.04289544236	5000
legacy-outback	1997	142240	minneapolis	700	-782.2607733650271	2504.294736842105	1394.695508002661	3175.4347826086955	1500
wrx	2007	112000	minneapolis	11000	11205.074560123308	7276.251040221914	10593.306930230221	12931.025862068966	9749.5
forester	1999	119825	minneapolis	1599	-287.92078495136013	2504.294736842105	2683.4105191180124	6524.113964686999	1750
legacy	2001	219900	minneapolis	2300	1393.482834329347	2417.3728222996515	1386.5061423759153	6418.04289544236	2000
legacy	1995	240000	atlanta	1100	-4255.2439063864185	2417.3728222996515	1547.9972063774649	6418.04289544236	1100
forester	2002	188	atlanta	3200	4712.220987400777	7276.251040221914	3914.024286638828	6524.113964686999	2700
wrx	2000	73000	minneapolis	15000	5249.476863852842	2504.294736842105	6671.355215905201	12931.025862068966	5500
forester	2007	198000	atlanta	2500	6172.225543155533	4789.687074829932	3954.989821442574	6524.113964686999	5998
legacy	2010	53000	minneapolis	9999	9934.961109362808	7276.251040221914	10195.030593162517	6418.04289544236	6500
legacy	2005	203000	minneapolis	2700	4942.142451691385	4789.687074829932	2719.026761341961	6418.04289544236	4000
impreza	2015	29780	minneapolis	9900	13425.262462750303	11567.134146341463	13213.093921852309	6655.659942363112	12000
