price	model1_est	model2_est	model3_est	model4_est	model5_est
25250	14859.217320318208	17750	20315.5972065189	7574.452145214522	18539.40404040404
2995	4598.427098330902	3999.5	3546.300366582931	7574.452145214522	4789.687074829932
4000	9138.567440055534	5500	5892.919308134426	12931.025862068966	7276.251040221914
3500	4708.882947996288	3700	2792.581742107207	6524.113964686999	4789.687074829932
11000	15986.948168379595	13500	13593.191476818887	19286.675213675215	4789.687074829932
12800	14016.41241601112	12000	13935.088402930724	6655.659942363112	11567.134146341463
18500	16091.273943101798	16200	17947.595807223126	6418.04289544236	18539.40404040404
30000	15813.317658829017	12500	18672.353208292407	19286.675213675215	13797.777777777777
1300	-2105.4267077884356	1500	1087.7030614543455	6418.04289544236	2417.3728222996515
26400	15386.658735594528	17195	18328.618611102404	6524.113964686999	18539.40404040404
22000	15189.229347948216	17750	19450.793232902535	7574.452145214522	18539.40404040404
9000	17906.16459017048	12500	12922.39884950504	19286.675213675215	13797.777777777777
5500	5854.709099063422	5900	4290.743906183765	9804.4	4789.687074829932
3300	1935.5354113917422	2450	2623.06020666931	7574.452145214522	2417.3728222996515
3250	1355.6478247324544	2000	3233.791420671866	6418.04289544236	2504.294736842105
5697	4001.8625985981143	2350	3565.9937920048314	7574.452145214522	2504.294736842105
2100	3540.152305398138	3050	1758.8106993444717	7574.452145214522	2417.3728222996515
7498	8024.728942455195	6900	6152.15106335279	6524.113964686999	4789.687074829932
2950	2811.6361132372754	2900	3539.3067424680066	6524.113964686999	7276.251040221914
7000	-23.102212759348276	2950	2057.7504669637847	6655.659942363112	2417.3728222996515
5700	4820.992660113314	3999.5	5594.986296962868	7574.452145214522	7276.251040221914
2900	4053.2174752931187	3050	2847.9514969429947	7574.452145214522	2417.3728222996515
5999	8041.268611623784	6900	6326.177001057767	6524.113964686999	4789.687074829932
9850	10972.883839762702	9749.5	8327.930595145928	12931.025862068966	4789.687074829932
11950	15332.81081805742	15950	14530.102363835067	16082.274725274725	18539.40404040404
5500	6097.0709480535315	5000	5110.7592993709295	6418.04289544236	7276.251040221914
4700	5005.701242358666	3999.5	3892.9380211806256	7574.452145214522	7276.251040221914
39500	27172.335441436335	29999	30759.853703311666	19286.675213675215	27667.102040816328
1400	-992.4573765054424	1750	1083.5220438275392	6524.113964686999	2417.3728222996515
7000	9628.220392610081	5495	6169.945535893938	7574.452145214522	4789.687074829932
19900	16546.230100818888	16100	17826.282219317538	6524.113964686999	18539.40404040404
5000	2714.787228949534	2900	2777.5734015149164	6524.113964686999	2417.3728222996515
16000	14841.49736524911	15750	15817.530988105798	12931.025862068966	11650.57939914163
8250	7433.214875268735	5950	7471.156394180449	6655.659942363112	7276.251040221914
1200	4041.774765554743	2350	1913.29547675706	6524.113964686999	2504.294736842105
3500	4995.725923243181	5300	4458.780737933593	9121.141592920354	2417.3728222996515
7990	11637.004669321535	13900	10165.294064086176	6524.113964686999	11650.57939914163
1500	3343.882677483226	2350	2751.49544713708	6524.113964686999	2417.3728222996515
9350	7706.463763887554	5800	5175.869011612685	6418.04289544236	4789.687074829932
9500	3383.026575521011	2500	4121.4592521598815	7574.452145214522	7276.251040221914
8500	9502.560645816544	7100	9896.11597871327	6524.113964686999	7276.251040221914
4499	5718.323021407121	2500	4219.117413195383	7574.452145214522	7276.251040221914
5900	9105.207242542994	6500	5361.749180499761	6418.04289544236	4789.687074829932
4000	5875.574099045787	5000	5662.07310396351	6418.04289544236	7276.251040221914
700	-782.2607733650271	1500	1394.695508002661	3175.4347826086955	2504.294736842105
11000	11205.074560123308	9749.5	10593.306930230221	12931.025862068966	7276.251040221914
1599	-287.92078495136013	1750	2683.4105191180124	6524.113964686999	2504.294736842105
2300	1393.482834329347	2000	1386.5061423759153	6418.04289544236	2417.3728222996515
1100	-4255.2439063864185	1100	1547.9972063774649	6418.04289544236	2417.3728222996515
3200	4712.220987400777	2700	3914.024286638828	6524.113964686999	7276.251040221914
15000	5249.476863852842	5500	6671.355215905201	12931.025862068966	2504.294736842105
2500	6172.225543155533	5998	3954.989821442574	6524.113964686999	4789.687074829932
9999	9934.961109362808	6500	10195.030593162517	6418.04289544236	7276.251040221914
2700	4942.142451691385	4000	2719.026761341961	6418.04289544236	4789.687074829932
9900	13425.262462750303	12000	13213.093921852309	6655.659942363112	11567.134146341463
2300	1478.3015242602	2000	1812.0082645141865	6418.04289544236	2417.3728222996515
6000	5185.515672692073	2900	3741.5751322432134	6524.113964686999	7276.251040221914
3200	4712.220987400777	2700	3914.024286638828	6524.113964686999	7276.251040221914
7999	7876.432268017834	5950	9429.025928253825	6655.659942363112	7276.251040221914
16500	15873.15558316173	16000	15545.689458053666	16082.274725274725	18539.40404040404
700	1311.6838332628872	2350	2258.7177482623165	6524.113964686999	2417.3728222996515
8000	10955.344221685244	9749.5	8157.339890038203	12931.025862068966	4789.687074829932
3100	3303.8148966881386	2500	2735.2982849980835	6418.04289544236	2417.3728222996515
2000	7486.216374048616	5495	4119.18234626508	7574.452145214522	4789.687074829932
10500	7775.585508196711	5900	7897.439391255053	12931.025862068966	7276.251040221914
2500	935.9007871365652	2350	2170.6106316560663	6524.113964686999	2417.3728222996515
5700	9108.0537386723	6500	5386.754722812961	6418.04289544236	4789.687074829932
1600	1938.104755670953	2450	2641.014723994399	7574.452145214522	2417.3728222996515
6500	6403.257290331634	5500	3557.4785604398267	12931.025862068966	2417.3728222996515
28000	16138.487526199957	19350	24486.420293435942	7574.452145214522	18539.40404040404
6200	7268.5509470657	6700	6735.723080111018	6524.113964686999	7276.251040221914
7500	9637.930270284649	7500	9178.226833732686	6655.659942363112	11567.134146341463
7500	6624.856224305582	5500	5273.424141042242	6655.659942363112	7276.251040221914
11950	15332.81081805742	15950	14530.102363835067	16082.274725274725	18539.40404040404
4500	9347.199072848623	6500	7459.522111255751	6418.04289544236	7276.251040221914
1000	1922.9048956592853	2450	2535.061620749706	7574.452145214522	2417.3728222996515
2900	4960.170242977076	4000	2837.9105731213194	6418.04289544236	4789.687074829932
9999	9934.961109362808	6500	10195.030593162517	6418.04289544236	7276.251040221914
13200	16328.721893117141	16100	16930.22721820108	6524.113964686999	18539.40404040404
3500	1857.1656453654891	2700	2665.558652591967	6524.113964686999	2417.3728222996515
5499	7150.3220407417975	5950	5793.5254892448265	6655.659942363112	7276.251040221914
4750	-249.63615345614528	1750	2899.4789202109214	6524.113964686999	2504.294736842105
10000	8880.450375061992	6700	9038.205220878011	6655.659942363112	7276.251040221914
1900	492.16497413872673	1950	1133.607893915926	6418.04289544236	2417.3728222996515
4500	4572.706953721574	3999.5	3313.4910343202782	7574.452145214522	4789.687074829932
1200	2341.9594507445004	2200	1962.3524580063486	6418.04289544236	2417.3728222996515
3500	3472.8699980818615	4500	2920.1948033463295	6655.659942363112	4789.687074829932
8500	7539.4827097695015	6900	8793.401392429667	9121.141592920354	7276.251040221914
3000	1183.751045020463	2350	3367.0968952768335	7574.452145214522	2504.294736842105
16500	14815.885028742432	15750	15551.356651067457	12931.025862068966	11650.57939914163
10000	11310.926744102862	11499	12515.60435934982	9121.141592920354	7276.251040221914
24500	20520.965510598096	22999	24519.809571588306	12931.025862068966	18539.40404040404
3900	5037.795392023976	4000	3356.840666771064	6418.04289544236	4789.687074829932
7599	9731.353703779965	6500	8691.488401973087	6418.04289544236	7276.251040221914
5995	4481.555563148908	3700	3598.60645184835	6524.113964686999	4789.687074829932
5700	9131.50029126988	6500	5592.727832194029	6418.04289544236	4789.687074829932
700	2826.7326000666017	2500	2865.655140773287	7574.452145214522	2417.3728222996515
4650	4887.07884242748	3700	4406.052129305667	6524.113964686999	7276.251040221914
19000	18713.961656218515	17200	19948.78965688178	16082.274725274725	18539.40404040404
18900	18096.421251574022	20250	23751.962227067306	12931.025862068966	18539.40404040404
15900	14128.34360362034	16100	15607.252388780838	6524.113964686999	18539.40404040404
7900	403.8680149914094	1947.5	4179.700516243981	6524.113964686999	2504.294736842105
4599	3480.974695625183	2350	3348.061457455099	6524.113964686999	2504.294736842105
2000	5312.517126052768	4000	3625.053097068433	6524.113964686999	4789.687074829932
3999	5718.323021407121	2500	4219.117413195383	7574.452145214522	7276.251040221914
6500	7689.107390865025	5800	5040.998689613354	6418.04289544236	4789.687074829932
700	2050.4658910242856	2700	1543.8324515080058	6524.113964686999	2417.3728222996515
11000	11205.074560123308	9749.5	10593.306930230221	12931.025862068966	7276.251040221914
13500	7464.719972187115	5800	5304.845009904826	6418.04289544236	7276.251040221914
5100	3366.269957696217	2500	3993.4696408979726	7574.452145214522	7276.251040221914
2300	6616.007590570149	4997.5	3586.385906096618	7574.452145214522	4789.687074829932
12000	10728.720293456274	6325	9422.23287178963	7574.452145214522	7276.251040221914
1500	635.2071576254939	1500	2224.0811748902634	6524.113964686999	2417.3728222996515
5980	7663.914871575795	5950	6741.191604839181	6655.659942363112	7276.251040221914
11950	14262.282524799595	16500	17882.330629630436	7574.452145214522	18539.40404040404
4900	8223.319403648178	6900	4967.797696141012	6524.113964686999	4789.687074829932
14400	16010.030922520138	16000	16615.207279660986	16082.274725274725	18539.40404040404
24000	14075.688738885265	16500	20126.523998757646	7574.452145214522	18539.40404040404
5000	5026.991587881645	4000	3284.0436582800303	6418.04289544236	4789.687074829932
850	-3011.769866891103	1375	1008.4489523882839	6418.04289544236	2417.3728222996515
1200	994.7323997458864	2350	2158.7981870064395	7574.452145214522	2417.3728222996515
8000	8587.013130114407	5998	5094.607315039779	6524.113964686999	4789.687074829932
500	1057.3797753367498	1100	1348.6114211067124	6418.04289544236	2504.294736842105
6750	7549.117720632654	5950	6098.732425125923	6655.659942363112	7276.251040221914
4995	7407.430299455957	6700	5007.895634375607	6524.113964686999	4789.687074829932
2500	46.281490128018504	1950	967.4558571673897	6418.04289544236	2417.3728222996515
4499	6280.5709036454555	5998	5019.669414639649	6524.113964686999	4789.687074829932
5497	4001.8625985981143	2350	3565.9937920048314	7574.452145214522	2504.294736842105
6000	6219.531641385387	4774.5	4331.87255732405	3175.4347826086955	4789.687074829932
5200	5514.676877474152	5900	5211.867958269993	9804.4	4789.687074829932
15900	14128.34360362034	16100	15607.252388780838	6524.113964686999	18539.40404040404
7400	8751.66086172976	6700	8458.279318663017	6655.659942363112	7276.251040221914
600	-6875.7760133093	1900	2507.3838997244575	6655.659942363112	2417.3728222996515
7950	7742.608518688252	5950	7163.100148580725	6655.659942363112	7276.251040221914
12995	10217.793632497378	7900	11980.754303959191	6524.113964686999	18539.40404040404
9900	13148.59770575003	12900	14232.406221744117	7574.452145214522	11650.57939914163
1500	2442.1104383314737	3725	1809.9632098267384	6655.659942363112	4789.687074829932
19000	16998.19513043447	15999.5	17755.30028815286	16082.274725274725	18539.40404040404
9000	9785.904281883853	6500	9112.550445234541	6418.04289544236	7276.251040221914
3900	3223.4469947829	2500	2899.9851644133714	7574.452145214522	2417.3728222996515
2600	6592.375180439365	4750	3822.4187698878195	6655.659942363112	4789.687074829932
1000	880.405487411691	1500	1790.578066882721	6418.04289544236	2417.3728222996515
4100	4715.060640284158	1800	3276.8804767612764	3175.4347826086955	2417.3728222996515
8250	7433.214875268735	5950	7471.156394180449	6655.659942363112	7276.251040221914
7850	8150.618511188366	6325	6222.896042628793	7574.452145214522	4789.687074829932
7300	7500.502692390108	6700	5973.667566978928	6524.113964686999	4789.687074829932
4500	5467.742929648934	5900	4850.992187647977	9804.4	4789.687074829932
1800	1671.3076364387912	2700	1337.3185691254894	6524.113964686999	2417.3728222996515
2450	-1506.3496842017153	1500	1818.804663376929	6418.04289544236	2417.3728222996515
4500	6395.649340617387	4997.5	4892.458233927958	7574.452145214522	4789.687074829932
5500	7694.0748525833405	5800	5079.585851506497	6418.04289544236	4789.687074829932
2000	-192.9253977661242	1350	2450.331539309572	7574.452145214522	2417.3728222996515
7999	8593.170835292016	5500	6047.4345653925975	6655.659942363112	7276.251040221914
2400	-2873.1399005006983	2200	2439.681188852822	6655.659942363112	2417.3728222996515
5999	11363.41926902892	7500	9264.088491401628	6418.04289544236	11650.57939914163
5000	5863.767834118244	4400	4225.0865873597895	7574.452145214522	4789.687074829932
15900	14128.006115332957	16100	15604.579814702756	6524.113964686999	18539.40404040404
2195	1554.7642072203823	1900	2233.318471504136	7574.452145214522	2417.3728222996515
1300	755.229157719662	1500	1338.778969636879	6418.04289544236	2417.3728222996515
7500	5904.613801118465	5500	5368.113668609826	9121.141592920354	7276.251040221914
12995	13495.391048273237	14100	12975.511171658796	12931.025862068966	7276.251040221914
3900	4999.409325966668	3999.5	3837.708147378463	7574.452145214522	7276.251040221914
3500	5911.673151606683	4400	4671.948020842615	7574.452145214522	7276.251040221914
6500	6566.639929190058	5500	4722.520862850343	12931.025862068966	2417.3728222996515
6400	6675.0317190585065	5998	5868.162648014835	6524.113964686999	7276.251040221914
7500	16914.231040960683	14000	14640.561693177788	19286.675213675215	13797.777777777777
3900	4999.409325966668	3999.5	3837.708147378463	7574.452145214522	7276.251040221914
22000	14878.587438974691	17195	17368.86192161104	6524.113964686999	18539.40404040404
6500	9267.803801158983	6500	6188.613527058707	9121.141592920354	7276.251040221914
16000	15184.09510103583	15950	16499.5333323634	16082.274725274725	18539.40404040404
